nombre,rubro,direccion,telefono,email,instagram,facebook,lat,lon
mini Super,supermarket,Javier Lascano Colodrero 2779,,minisuperas@gmail.com,,,-31.3635585,-64.2089739
Kamama Bowling,bar,"Güemes 74, Santa Rosa de Calamuchita",,kamama_bowling@hotmail.com,,,-32.0683602,-64.538896
Inmobiliaria PH Bienes Raices,estate agent,"Ruta Nacional 38 Monseñor Angelelli 400, Valle Hermoso",+54 3548 47 8990,info@phbienesraices.com.ar,,,-31.1143835,-64.485388
Estudio Meinero,oficina: accountant,,,drmeinero@gmail.com,,,-31.4266691,-63.1957054
Consulado de Francia,oficina: diplomatic,"Ayacucho 46, Córdoba",+54 351 4290915,sonzini@arnet.com.ar,,,-31.4165153,-64.1868142
San Lucas,clinic,"España 71, Laboulaye",+54 3856 42 6112,clinicaprivadasanlucas@hotmail.com,,,-34.1246892,-63.3876048
Mecánica ledesma,tyres,Buenos Aires 365,+54 3521 42 1684,mecanicaledesma@hotmail.com,,,-30.4242966,-64.3542495
Electrónica Doble G,electronics,1275,+54 358 462 4998,gasserg@ciudad.com.ar,,,-33.1274405,-64.3593255
Unicor SA,computer,"Zenón López 1594, Pilar",+54 351 5892975,info@unicorsa.com.ar,,https://www.facebook.com/unicorsa,-31.6771657,-63.8868058
la casa del celular,mobile phone,José Ingenieros 125,+54 353 429 1443,javirigotti@gmail.com,,,-32.409285,-63.2436398
Marozzi distribuidora,car parts,"Avenida Eduardo Bulnes 2032, Córdoba",+54 351 451 2414,ventas@bateriasmarozzi.com.ar,,,-31.3972054,-64.1628242
Parador El Refugio De Los Pajaros,convenience,Avenida de los Pájaros,+54 3546 54 0502,juan80manuelcarranza@yaoo.com.ar,,,-32.0594228,-64.560881
Lacteos y fiambres Avenida,department store,"Avenida Raúl Scalabrini Ortiz 893, Villa María",4613061,lacteosyfiambresavenida@hotmail.com,,,-32.4206143,-63.2371843
Gestor de Cordoba. Autos. Motos. Gonzalo 3512205097,car,José Joaquín Contreras 4277,+54 351 220 5097,santinogigena@gmail.com,,,-31.3644294,-64.2265666
Pcnet rio cuarto,computer,Doctor Carlos Gaudard 732,35844292360,pcnetonline@gmail.com,,,-33.1209557,-64.3599649
Deportes Iguazu,sports,Deán Funes 283,+54 351 425 8296,deportesiguazu@gmail.com,,,-31.4148579,-64.1878095
Poeta Soho,stationery,"Santiago Baravino 4830, Córdoba",+54 351 771 2015,poetasoho@gmail.com,,,-31.3578028,-64.2127421
Do Nascimento,pharmacy,Belgrano 4000,+543544427154,farmadonascimento@live.com.ar,,,-31.9534353,-65.1443916
VIA PLATINA,jewelry,459,,intilihueluna@msn.com,,,-31.0351952,-64.487842
