nombre,rubro,direccion,telefono,email,instagram,facebook,lat,lon
Aca Villa Allende,fuel,"Avenida Goycoechea 1169, Villa Allende",+54 3543 43 7080,,,,-31.2993919,-64.2880263
Axion,fuel,"Avenida Goycoechea 1235, Villa Allende",,,,,-31.299809,-64.2875463
YPF,fuel,,+54 3547 42 1791,,,,-31.6585513,-64.4274168
Shell Anisacae,fuel,,+54 3547 49 4324,,,,-31.7208831,-64.4033434
Shell,fuel,"Avenida Sarmiento 299, Alta Gracia",+54 3547 42 1207,,,,-31.6559896,-64.437926
Shell,fuel,,,,,,-31.6510487,-64.4080818
Shell,convenience,"Avenida San Martín 1109, Villa Carlos Paz",+54 3541 42 6180,,,,-31.413387,-64.4854785
Axion,fuel,,,,,,-31.4382276,-64.5012049
Gomería,tyres,,,,,,-31.4247427,-64.4950076
San Expreso,cafe,,,,,,-31.7206736,-65.0041962
Puma,fuel,,,,,,-31.9266207,-63.6712859
YPF,fuel,"Avenida San Martín, San José de la Dormida",,,,,-30.3567038,-63.9415856
Jemagas,fuel,,,,,,-30.9862959,-64.0889448
YPF El Cruce,fuel,,,,,,-30.9777199,-64.08457
Shell,fuel,"Avenida Monseñor Pablo Cabrera 4822, Córdoba",,,,,-31.3597513,-64.2034084
YPF,fuel,Avenida Monseñor Pablo Cabrera,,,,,-31.3855986,-64.2061702
Puma,fuel,"Ruta Nacional 1V09, Bell Ville",+54 3537 41 2143,,,,-32.6101854,-62.6906993
GNC Di Marco,fuel,,,,,,-32.6091475,-62.6874913
YPF,fuel,"Juan Domingo Perón 471, Embalse",+54 3571 48 5225,,,,-32.2009086,-64.4029841
WICO,fuel,,,,,,-33.1084102,-64.3393633
Guareschi y Asociados (YPF),fuel,"San Juan 1001, Villa María",+54 353 453 5803,,,,-32.4088151,-63.2471507
Estación de Servicio Estilo,fuel,,,,,,-32.2049325,-63.1638098
MC Combustible,fuel,"Boulevard Buenos Aires, La Playosa",,,,,-32.1024316,-63.0342649
Bandera Blanca,fuel,,,,,,-34.1266812,-63.4015996
Mutual de Taxi,pharmacy,Avenida Los Sauces 400,,,,,-31.421387,-64.518947
Grimberg,pharmacy,,,,,,-31.4189078,-64.5055664
Vivero El Ceibo,garden centre,,,,,,-31.9864304,-64.5556995
Pizza UGIS,fast food,,,,,,-32.4147904,-63.2318417
Vea,supermarket,,,,,,-31.4240234,-64.1477041
Hipermercado La Anonima,supermarket,,,,,,-31.43437,-64.1427319
Del Sol,chemist,Obispo Oro,,,,,-31.4255224,-64.1834099
Yabale,pharmacy,,,,,,-30.8594166,-64.5258866
Strega,restaurant,,,,,,-31.4234458,-64.1813552
Milanesas del Mariscal,restaurant,,,,,,-31.4239416,-64.1808032
Saint Andrews,bar,,,,,,-31.4227851,-64.1843845
Bonanza,bar,,,,,,-31.422657,-64.1847547
Grido,ice cream,,,,,,-31.4200199,-64.1873361
Mostachis,fast food,,,,,,-31.420691,-64.186143
Las mejores del mundo,alcohol,,,,,,-31.420561,-64.186643
Equus,video,,,,,,-31.42355,-64.181043
Electronia,computer,,,,,,-31.423609,-64.181717
Campestre,restaurant,,,,,,-31.423529,-64.181965
Disco,supermarket,Avenida José Manuel Estrada 66,+54 351 433-3004,,,,-31.4276672,-64.1880643
Del Pilar,bakery,,,,,,-31.427521,-64.1875509
Pafua,bakery,,,,,,-31.427662,-64.183279
Caseratto,ice cream,,,,,,-31.4279691,-64.1869617
icecream,cafe,,,,,,-31.423693,-64.1814732
Disco,supermarket,Ituzaingó 701,+54 351 433-3000,,,,-31.4253238,-64.1847724
Nueva Córdoba,pharmacy,,,,,,-31.423908,-64.1885703
Buenos Días,supermarket,,,,,,-31.4223342,-64.1885238
Aquarius,pharmacy,Avenida Vélez Sarsfield,,,,,-31.423868,-64.190674
Luis Darío garcia,doctors,,,,,,-31.423431,-64.189674
Del sanatorio,pharmacy,,,,,,-31.4247533,-64.1868736
Ecco Emergencia y prevencion,pharmacy,Boulevard Arturo Illia 235,,,,,-31.4215463,-64.1827248
Buenos Aires,pharmacy,,,,,,-31.4220068,-64.1834289
Vermouth,pharmacy,,,,,,-31.422963,-64.193537
Longo,doctors,,,,,,-31.423544,-64.191413
Cipe,doctors,Avenida Vélez Sarsfield,,,,,-31.423288,-64.190461
McDonald's,fast food,,,,,,-31.419703,-64.1882399
Burger King,fast food,,,,,,-31.4195337,-64.1883419
Axion,fuel,"Avenida del Libertador General San Martín 1980, Alta Gracia",+54 3547 42 1137,,,,-31.6586853,-64.4099808
Parrilla Los Morteritos,restaurant,,,,,,-31.7128469,-64.4041088
Bonafide,cafe,,,,,,-31.9457575,-65.1902377
Don Adolfo,restaurant,,,,,,-31.9443146,-65.1908854
Crillón,ice cream,,,,,,-31.9453141,-65.1911734
Amadeus,cafe,,,,,,-31.9450249,-65.1894014
Milac,ice cream,,,,,,-31.9443427,-65.1900535
Borocco,cafe,,,,,,-31.4080716,-64.1890037
Tarjeta Naranja,oficina: yes,,,,,,-31.1671755,-64.3218928
Valig,supermarket,,,,,,-31.174037,-64.3116256
Wilson,pharmacy,,,,,,-31.2986782,-64.2892935
La Estación,cafe,,,,,,-31.2572774,-64.2992117
Marvill,convenience,,,,,,-31.1710275,-64.3155671
El Titano,convenience,,,,,,-31.1774057,-64.3104299
Todo Suspensión,car parts,Avenida Goycoechea 1731,+54 3543 43 6565,,,,-31.3034618,-64.2836337
Influencias,pub,,,,,,-31.4184512,-64.1912636
Marconi,restaurant,,,,,,-31.4378334,-64.1920693
Bongó Club Saldan,pub,,,,,,-31.3071929,-64.3113584
Bar El Bajo,cafe,,,,,,-31.4104474,-64.4944686
ECO,supermarket,,,,,,-31.7961801,-65.0037619
La Casa De Lucio,restaurant,,,,,,-31.8086597,-65.0022347
Nueva del Pueblo,pharmacy,,,,,,-31.9194354,-64.5761637
Dulzuras Jade,cafe,"Avenida San Martín, Los Reartes",+54 3546 450081,,,,-31.9231041,-64.5778799
YPF,fuel,"Ruta Nacional 158, Las Varillas",+54 3533 42 2357,,,,-31.8681398,-62.7093241
El Sotano,hardware,,+54 351 4256819,,,,-31.413131,-64.1811669
El Sotano,hardware,Rivadavia 269,+54 351 4239651 ; +54 351 4272772,,,,-31.4134921,-64.1815864
Supermercado La Anonima Poeta Lugones,supermarket,,,,,,-31.3637796,-64.2161763
Mariachi,restaurant,,,,,,-31.4312169,-64.2289705
Supermercado de la Cooperativa Ganadera,supermarket,San Martín,,,,,-31.0145874,-62.0634355
Farmacia Ambroggio Ghersi,pharmacy,"San Martín 344, Porteña",,,,,-31.0143411,-62.0647222
Mario Esterlizi Servicios de Viajes,car rental,,,,,,-33.278616,-62.1881555
Zvlu Bar,pub,Alvear 740,,,,,-33.1232755,-64.350549
EL´A,pub,,,,,,-31.6502464,-63.9100014
ONDA 22,pub,,,,,,-31.6522853,-63.9100561
El Ruedo,bar,,,,,,-31.416547,-64.1858508
Puma,fuel,Duarte Quirós,,,,,-31.414701,-64.2005831
YPF,fuel,"Jerónimo del Barco, Villa del Rosario",,,,,-31.5630187,-63.54465
Shell,fuel,"Avenida Vélez Sarsfield 1732, Córdoba",,,,,-31.4349197,-64.1952676
Bar Serrano,bar,,,,,,-30.9593222,-64.2786886
Puesto Roca,restaurant,,,,,,-30.9593256,-64.2719173
Axion,fuel,"Avenida 25 de Mayo, Porteña",,,,,-31.0099902,-62.0670611
Ramos Generales Algañaraz,convenience,,,,,,-30.098258,-63.9321005
Autoservicio Don Licho,convenience,,,,,,-32.0261471,-65.030339
Las Violetas,restaurant,,,,,,-32.0294313,-65.0099978
Rio Bikes,bicycle,Avenida San Martín 5906,,,,,-31.1600293,-64.3193834
Disco,supermarket,Avenida San Martín 5259,+54 351 493-8300,,,,-31.1652514,-64.3221458
Gomeria,car repair,,,,,,-30.8549062,-64.9973399
Nueva Farmacia Del Valle,pharmacy,"Avenida San Martín 390, Villa del Dique",+54 3546 49 7840,,,,-32.1719578,-64.4501735
Cooperativa de Obras y Servicios Públicos,oficina: association,,,,,,-32.1766074,-64.4553234
Arias,supermarket,,,,,,-32.1714889,-64.4499912
Más,supermarket,,,,,,-32.1765989,-64.4525099
Panadería Mónica,bakery,,,,,,-32.174065,-64.4534784
"Puerto del Lago - Alfajores, chocolates y pasteles caseros",confectionery,,,,,,-32.1785238,-64.4496697
Eg3,fuel,,,,,,-31.4852223,-64.5645623
Parador El Condor,restaurant,,,,,,-31.6094322,-64.7583203
Verduleria San José,greengrocer,,+54 351 203 4445,,,,-31.8022467,-64.4176455
Panadería Dulce Catalina,bakery,"Avenida Cavaiani de Osuna, José de la Quintana",+54 9 3547 50 5420,,,,-31.8032873,-64.4178184
La Taba,convenience,"Ruta Provincial E56, José de la Quintana",,,,,-31.8063841,-64.403786
Kiosko/Librería Miner´s boys,kiosk,"Avenida Gobernador Cárcano, José de la Quintana",,,,,-31.8027063,-64.4130055
Los Nietos de Pepe,convenience,,,,,,-31.8033843,-64.4187233
"Dietética, pescados y mariscos",yes,,,,,,-31.8025447,-64.4171246
Farmacia Estrella,pharmacy,,,,,,-31.362915,-64.2046139
Supermercado chino,supermarket,,,,,,-31.3637075,-64.2042116
Villa Nueva II,pharmacy,,,,,,-32.4350464,-63.2483721
La Yema de ORO,restaurant,9 de Julio 520,+54 3548 42 2125,,,,-31.0899375,-64.4811409
Gaynor,restaurant,,,,,,-31.8450946,-64.954482
Dispensario Médico Municipal,doctors,"General Alvear, Porteña",+54 (3564) 45-0100/45-1349,,,,-31.0094924,-62.0694683
Porteña,pharmacy,,,,,,-31.0146142,-62.0632456
Fábrica de Alfajores Estancia El Rosario,confectionery,,,,,,-30.9949323,-64.4599955
El Almacén,restaurant,,,,,,-31.0002442,-64.4775239
Puntopc,gift,,,,,,-31.1722274,-64.3145354
La Ñatita,bar,,,,,,-32.8540014,-63.5543606
Bar Estilos,bar,,,,,,-32.6112152,-62.6967493
La Tratoria de Luigi,restaurant,,,,,,-32.6936866,-64.7209452
Supermercado La Huerta,convenience,,,,,,-32.6936911,-64.7212563
La Loma,restaurant,,,,,,-32.6941641,-64.7213214
Poli Rubros Sabri,convenience,,,,,,-32.6932983,-64.721267
Lo de Miguel,restaurant,,,,,,-32.6949235,-64.7210793
Mercadito Gaby,convenience,,,,,,-32.691199,-64.7192017
Mercado Central,convenience,,,,,,-32.6938897,-64.7213046
Comedor,restaurant,,,,,,-31.3631015,-64.2759533
Black sheep,alcohol,,,,,,-31.4242465,-64.1864535
Patio de Comidas Hiper Libertad,restaurant,,,,,,-31.3646233,-64.2167644
Renault Minuto,car repair,,,,,,-31.3645633,-64.2180746
mini Super,supermarket,Javier Lascano Colodrero 2779,,minisuperas@gmail.com,,,-31.3635585,-64.2089739
Hipershop,supermarket,,,,,,-30.9914045,-64.0962172
Nueva Rosa,pharmacy,,,,,,-31.0056873,-64.0796796
Super AR,supermarket,,,,,,-31.0078041,-64.077177
Panadería Castillo,bakery,,,,,,-31.0134222,-64.0731834
Frutos de Caroya,greengrocer,,,,,,-31.0200165,-64.0633727
Italiana,pharmacy,,,,,,-34.1241194,-63.3884596
Santa Isabel,pharmacy,,,,,,-34.1263221,-63.3891448
Cordiez,supermarket,"Avenida Vélez Sarsfield 334, Córdoba",,,,,-31.4190456,-64.1884465
Lubricentro Mao,car repair,,,,,,-31.0223825,-64.0609198
Casa Vil-Mar,convenience,"Calle 48 - Luis D'Olivo 4002, Colonia Caroya",,,,,-31.0254944,-64.0645661
Havanna,cafe,,,,,,-31.3670635,-64.2185894
