nombre,rubro,direccion,telefono,email,instagram,facebook,lat,lon
Walter,pharmacy,,,,,,-31.251133,-61.4900803
Orange,perfumery,,,,,,-31.2522258,-61.4958117
Amur,pharmacy,,,,,,-31.2526222,-61.4905256
Ingaramo,pharmacy,,,,,,-31.2525208,-61.4938358
Gerlero,perfumery,,,,,,-31.2525785,-61.4934838
Libertad,supermarket,,,,,,-31.2419233,-61.5071348
ProntoWash,car wash,,,,,,-31.2417124,-61.5060408
Monutti,newsagent,"Rivadavia, Rafaela",,,,,-31.2536213,-61.4922455
Axion,fuel,"Avenida Intendente Octavio Zobboli, Rafaela",,,,,-31.2592731,-61.5073371
Tarjeta Naranja,money lender,"Santa Fe, Rafaela",,,,,-31.2534263,-61.4860028
Tres56 Resto-Bar,bar,"Santa Fe 356, Rafaela",+54 3492 50 6356,,,,-31.2532508,-61.4891291
Grido,ice cream,"San Martin, Rafaela",,,,,-31.2515138,-61.4923901
Nugui Automotores,car,"Avenida Intendente Octavio Zobboli, Rafaela",+54 3492 563335,,,https://www.facebook.com/nuguiautomotores/,-31.2603766,-61.5061905
Al Paso,fast food,"Avenida General Bartolomé Mitre, Rafaela",,,,,-31.2529535,-61.4829325
Grido,ice cream,"Avenida General Bartolomé Mitre, Rafaela",,,,,-31.2526188,-61.4814841
Parabrisas Rafaela,car parts,"Avenida Intendente Octavio Zobboli, Rafaela",,,,,-31.2531426,-61.5051078
Alpes,car,"Avenida Intendente Octavio Zobboli, Rafaela",,,,,-31.2553323,-61.5055977
Gomería Susana,car repair,"Avenida Intendente Octavio Zobboli, Rafaela",,,,,-31.2525605,-61.5057517
PomarSoft,oficina: web design,"Tríunvirato 649, Rafaela",+54 9 3492 52 4268,pomarfacundo@gmail.com,,,-31.254492,-61.4786552
ACA,fuel,"Santa Fe 705, Rafaela",+54 3492 42 3714,,,,-31.2538504,-61.4836412
Axion,fuel,,,,,,-31.2511021,-61.4915913
YPF,fuel,,,,,,-31.2521193,-61.4940057
Pido Pizza,fast food,"San Martín 499, Rafaela",,,,,-31.2525513,-61.4862476
Ribeiro,electronics,"San Martín 101, Rafaela",,,,,-31.2518782,-61.4902224
Cyrano,bar,"Santa Fe 357, Rafaela",,,,,-31.2529214,-61.4890585
Fabricca Matias,clothes,,,,,,-31.2475982,-61.4952826
Karlen Maria Beatriz,clothes,Alvear 198,,,,,-31.2515794,-61.4891104
David Raul y Maria Julia,clothes,Saavedra 155,,,,,-31.2651961,-61.4922648
Corralon El Cedro,furniture,Avenida Intendente Octavio Zobboli 1179,+54 3492 44 0092,corralonelcedro@Wilnet.com.ar,,,-31.2399294,-61.5045118
SOLAZ Rafaela * SONDer,clothes,Francisco Sáenz Díaz 333,,,,,-31.2594802,-61.4972959
Taller Reparación de Amortiguadores Rojas y Coria,car repair,Avenida Aristóbulo del Valle,,,,,-31.2611517,-61.4721449
white rabbit restobar,bar,,,,,,-31.2498964,-61.4920176
Anís del Mono,bar,San Lorenzo,,,,,-31.2545807,-61.4877385
Delegación Regional de Educación - Region III,oficina: government,,,,,,-31.2455657,-61.4760925
Servicio Emergencias Rafaela,doctors,Pueyrredón 64,+54 3492 50 5005,,,,-31.2527906,-61.4883607
Farmacia D'Agostino,pharmacy,Jorge Newbery 328,,,,,-31.2538011,-61.4672627
Peretti,bicycle,Falucho,,,,,-31.2569584,-61.4944507
DeMiga Sandwichería,fast food,"Moreno 240, Rafaela",,,,,-31.251198,-61.4938181
Lomitos 2x1,fast food,"Bulevar Hipólito Yrigoyen 1305, Rafaela",+54 03492 33-2662,,,,-31.2651177,-61.4943552
La Plaza,bakery,"Bulevar Hipólito Yrigoyen 1341, Rafaela",,,,,-31.2652949,-61.4943715
Centro de Salud 5 Martín Miguel de Güemes,clinic,"Luis Maggi 2040, Rafaela",+54 3492 44-0199,,,,-31.2349784,-61.5090264
Centro de Salud 11 Maria Ines Tarchini de Dellasanta,clinic,"Gabriel Maggi 1800, Rafaela",+54 3492 57-7005,,,,-31.2376744,-61.464812
Centro de Salud 6 Barrio Amancay,clinic,"Martín Oliber 1206, Rafaela",+54 3492 43-1888,,,,-31.26107,-61.509567
Centro de Salud 7 17 de Octubre,clinic,"Monseñor Zaspe 1899, Rafaela",+54 3492 45-3124,,,,-31.2686774,-61.5074737
Centro de Salud 10 Veronica Sereno,clinic,"Julio Cortázar 2490, Rafaela",+54 3492 57-7033,,,,-31.2737416,-61.4706003
Centro de Salud 4 Virgen de Fatima,clinic,"Luis Braille 1095, Rafaela",+54 3492 42-6430,,,,-31.261525,-61.4805146
Centro de Salud 3 Santa Rosa de Lima,clinic,"Santa Rosa 727, Rafaela",+54 3492 42-4739,,,,-31.2503347,-61.4690959
Centro de Salud 2 Materno Infantil,clinic,"Ciudad de Esperanza 1550, Rafaela",+54 3492 44-1085,,,,-31.2390496,-61.4827322
Centro de Salud 1 - Rafaela,clinic,"Francia, Rafaela",+54 3492 45-2849,,,,-31.231695,-61.470885
Centro de Salud Consultorio Periferico Movil,clinic,"Lisandro de La Torre 687, Rafaela",,,,,-31.2448977,-61.5009937
Vrai Frutas y verduras,greengrocer,"Victor Manuel III, Rafaela",,,,,-31.2512927,-61.480331
VRAI Verdulería Autoservicio,greengrocer,Victor Manuel III,,,,,-31.2512716,-61.4804162
Flor del Norte,bar,Gaudencio Mainardi 298,,,,,-31.2411972,-61.4916978
Cada de Reparacion de artefactos electronicos,electronics,Hermana Fortunata 583,,,,,-31.2449348,-61.507603
El cuarto,restaurant,"Belgrano 340, Rafaela",,,,,-31.2540965,-61.4886057
Casa de Esteban,bar,"Belgrano 349, Rafaela",,,,,-31.2540965,-61.4885952
Tio pope Bar,bar,"Italia 602, Rafaela",,,,,-31.250486,-61.4754167
America Bar,bar,"América 480, Rafaela",,,,,-31.2529778,-61.4695981
El cuarto,restaurant,"Belgrano 349, Rafaela",,,,,-31.2541395,-61.488531
shelbys bar,bar,"Italia 512, Rafaela",,,,,-31.2513687,-61.4749151
República Bar,bar,Primera Junta 271,,,,,-31.2506112,-61.4832418
Dionisio bar y restó,bar,"Las Heras 470, Rafaela",,,,,-31.2562036,-61.4880116
La flamenca bar,bar,"Arenales 701, rafaela",,,,,-31.2452768,-61.4921539
Irsh pub,bar,"3 de Febrero 578, rafaela",,,,,-31.2465947,-61.4934557
Pinta Bar,bar,"9 de Julio 422, rafaela",,,,,-31.2571801,-61.491881
Alquimia,bar,"Bulevar Hipólito Yrigoyen, rafaela",,,,,-31.255579,-61.492672
Artemio Bar,bar,Chacabuco 244,,,,,-31.2539492,-61.4948663
Bar el pelado,bar,"Roca, Rafaela",,,,,-31.2514036,-61.4984998
La mula bar,bar,"Lamadrid 356, Rafaela",,,,,-31.2484869,-61.4952579
Fronda bar,bar,"Sargento Cabral 152, Rafaela",,,,,-31.2545527,-61.489053
Luck Beer Bar,bar,"Santa Fe 1197, Rafaela",,,,,-31.2546805,-61.4795127
Peñón del aguila,bar,"San Martín 511, Rafaela",,,,,-31.2525048,-61.4863316
Casa tomada,bar,Avenida Intendente Octavio Zobboli 1101,,,,,-31.2400037,-61.5044953
Sudano,pharmacy,"Colón 54, Rafaela",+54 3492 320295,,https://www.instagram.com/farmaciasudano/?hl=es,,-31.2530053,-61.4931049
Pablo Culzoni,trade,"Avenida Luis Fanti, Rafaela",,,,,-31.2597798,-61.505541
Zanella,motorcycle,"Avenida Luis Fanti, Rafaela",,,,,-31.2598442,-61.5052175
Culzoni,trade,"Avenida Luis Fanti, Rafaela",,,,,-31.2603171,-61.5043691
Zbrun,car parts,"Avenida Luis Fanti 999, Rafaela",+54 3492 423029,,,https://www.facebook.com/people/Zbrun-Repuestos-Para-Camiones/100063616986097/,-31.2599485,-61.5042617
Grido,ice cream,"Avenida Luis Fanti 583, Rafaela",,,,,-31.2610353,-61.5003192
Instituto de Capacitación y Estudios para el Desarrollo Local,oficina: government,,,,,,-31.2526088,-61.4856718
Rafaela Alimentos,butcher,"Paraná, Rafaela",,,,,-31.2422348,-61.5023609
YPF,fuel,"Santa Fe, Rafaela",,,,,-31.2576471,-61.465063
Axion,fuel,Hipólito Yrigoyen,,,,,-31.2611716,-61.4933367
Shell,fuel,"Avenida Intendente Octavio Zobboli, Rafaela",,,,,-31.2525781,-61.5050691
MPF,fuel,"Avenida Ernesto Salva, Rafaela",,,,,-31.2406652,-61.5040537
Pochettino Comercial,motorcycle,"Perú 10, Rafaela",+54 3492 43-2166,,,https://www.facebook.com/PochettinoComercial/,-31.2502013,-61.5050566
Boffelli Motos,motorcycle,"Roca 1204, Rafaela",+54 3492 50-2333,,,https://www.facebook.com/TracindaSA/,-31.2504207,-61.504421
Mil Uno M1,restaurant,,,,,,-31.2500433,-61.4758581
Secretaría de Educación,oficina: government,,,,,,-31.2521306,-61.4854622
