nombre,rubro,direccion,telefono,email,instagram,facebook,lat,lon
Petron,fuel,Rosario,,,,,14.4173486,120.8551662
Sangguniang Pambarangay ng Rosario,oficina: government,"Bernal Street, Pasig",,,,,14.5861046,121.084674
Calle-piramide Medical Clinic,doctors,"C. Suarez Street, Pasig",,,,,14.5817269,121.0844031
Rosario Specialist Clinic,clinic,Pasig,,,,,14.59005,121.084831
Puma Energy,fuel,Avenida Sorrento 1240,+54 341 454-5838,,,,-32.9070759,-60.6954422
Puma Energy,fuel,,,,,,-32.8987248,-60.6831047
Uncle John's,convenience,Rosario Avenue,,,,,14.3366587,121.0477341
Cafe Margarita,restaurant,,,,,,16.224834,120.47185
Lopez Temporelli,pharmacy,,,,,,-33.0025559,-60.6399115
Solari,pharmacy,,,,,,-33.0022536,-60.6494559
Rancho Pikin,bar,"Ruta 304, Rosario",,,,,9.8075155,-84.068544
La Reina,supermarket,"Bulevar Nicasio Oroño 3434, Rosario",,,,,-32.9747575,-60.6618149
Changhe Automobile La Union,car,,,,,,16.2221323,120.4644324
Flea Market,second hand,,,,,,8.3608408,126.0159389
Antonio Avelino,restaurant,"Barón de Mauá 1053, Rosario",+54 341 449-0546,,,AntonioAvelino.RestoBar,-32.9497596,-60.6379228
AYS Vulcanizing Shop,tyres,"East Bank Road, Pasig",,,,,14.5908178,121.0932746
Jollibee,fast food,"General Trias Drive, Rosario",,,,,14.4094365,120.857812
Bar B King,fast food,"General Trias Drive, Rosario",,,,,14.4091654,120.8565864
Bibingkinitan,bakery,"General Trias Drive, Rosario",,,,,14.4089481,120.856664
Mang Inasal,fast food,"General Trias Drive, Rosario",,,,,14.4087069,120.8568116
Dunkin',fast food,"General Trias Drive, Rosario",,,,,14.4090167,120.8565533
National Book Store,books,General Trias Drive,,,,,14.4096755,120.8571897
KFC,fast food,"General Trias Drive, Rosario",,,,,14.4094802,120.8565446
Ace Hardware,doityourself,"General Trias Drive, Rosario",,,,,14.4086363,120.8570288
Silicon Valley,computer,"General Trias Drive, Rosario",,,,,14.4093492,120.8564759
Asianic,hifi,"General Trias Drive, Rosario",,,,,14.40945,120.8564984
Starbucks,cafe,"General Trias Drive, Rosario",,,,,14.4098692,120.8578796
Greenwich,fast food,"General Trias Drive, Rosario",,,,,14.4095601,120.8566328
Mercury Drug Store,pharmacy,Pasig,,,,,14.5904762,121.0855238
La Princesa,supermarket,Avenida Batalla de Ayacucho,,,,,-33.0002809,-60.6360117
Colores,books,,,,,,-32.9997029,-60.6364543
Shell,fuel,"Avenida Carlos Pellegrini 3370, Rosario",,,,,-32.951464,-60.671927
Kiosko de Ana,gift,"José C. Paz 1901, Rosario",,,,,-32.8940532,-60.6897903
Cacique,restaurant,,,,,,-32.9282232,-60.7386089
La Nueva Bellas Artes,bakery,"Rioja 1986, Rosario",,,,,-32.9452934,-60.6502873
YPF,fuel,,,,,,-33.0035752,-60.6616873
